EXPOCODE,SECT,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,TOC,TOC_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,M,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,DBAR,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG_C,,/MILLE,,/MILLE,/MILLE,,/MILLE,UMOL/KG,,KBQ/CUM,,KBQ/CUM,BQ/CUM,,BQ/CUM,MBQ/CUM,,MBQ/CUM,DEG C,KG/CUM
49NZ20030909,   P06,127,4,18,12030,2,20030912,1358,-32.511,-149.8195,5025,1999.1,2,2.2268,2,2.22673,2,34.6271,2,34.6268,2,147.24,2,1998.3,2,152.48,2,152.36,2,106.67,2,0.35,35.41,2,0.13,-0.01,2,0.01,2.5,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,-999,1,-999,-999,1,-999,2.087,27.666
49NZ20030909,   P06,127,4,17,12029,2,20030912,1358,-32.511,-149.8195,5025,2200,2,2.0875,2,2.08756,2,34.6434,2,34.6429,2,145.7,2,2199.5,2,151.19,2,151.14,2,113.71,2,0.37,35.56,2,0.13,-0.01,2,0.01,2.52,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1.9325,27.6913
49NZ20030909,   P06,127,4,16,12028,2,20030912,1358,-32.511,-149.8195,5025,2400.9,2,1.9654,2,1.96544,2,34.6539,2,34.6539,2,145.35,2,2400.4,2,150.9,2,150.55,2,119.18,2,0.38,35.65,2,0.13,-0.01,2,0.01,2.52,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-0.01,2,0.02,-999,1,-999,1.7947,27.7104
49NZ20030909,   P06,127,4,15,12027,2,20030912,1358,-32.511,-149.8195,5025,2600,2,1.8617,2,1.86157,2,34.6618,2,34.6617,2,145.85,2,2600,2,151.48,2,151.48,2,123.32,2,0.39,35.83,2,0.13,-0.01,2,0.01,2.53,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1.6749,27.7258
49NZ20030909,   P06,127,4,14,12026,2,20030912,1358,-32.511,-149.8195,5025,2800.1,2,1.7872,2,1.78749,2,34.6686,2,34.6683,2,147.15,2,2799.9,2,153.07,2,152.85,2,125.83,2,0.4,35.58,2,0.13,-0.01,2,0.01,2.51,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1.5832,27.7381
49NZ20030909,   P06,127,4,13,12025,2,20030912,1358,-32.511,-149.8195,5025,3000.1,2,1.7211,2,1.72103,2,34.6753,2,34.6754,2,150.38,2,3000.2,2,156.18,2,156.19,2,126.34,2,0.4,35.42,2,0.13,-0.01,2,0.01,2.49,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,0.01,2,0.02,-999,1,-999,1.4994,27.7496
49NZ20030909,   P06,127,4,12,12024,2,20030912,1358,-32.511,-149.8195,5025,3250.3,2,1.6258,2,1.62582,2,34.6845,2,34.6844,2,157.7,2,3250.3,2,163.85,2,164.07,2,124.22,2,0.39,34.81,2,0.13,-0.01,2,0.01,2.45,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1.3817,27.7655
49NZ20030909,   P06,127,4,11,12023,2,20030912,1358,-32.511,-149.8195,5025,3500.3,2,1.5267,2,1.52693,2,34.6923,2,34.6921,2,166.17,2,3501.3,2,171.26,2,172.57,2,121.57,2,0.39,34.08,2,0.13,-0.01,2,0.01,2.4,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,0.04,2,0.02,-999,1,-999,1.2598,27.7804
49NZ20030909,   P06,127,4,10,12022,2,20030912,1358,-32.511,-149.8195,5025,3751,2,1.4252,2,1.4252,2,34.6978,2,34.6979,2,174.01,2,3751.5,2,180.15,2,180.8,2,119.82,2,0.38,33.63,2,0.13,-0.01,2,0.01,2.36,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1.1349,27.7934
49NZ20030909,   P06,127,4,9,12021,2,20030912,1358,-32.511,-149.8195,5025,3999,2,1.3457,2,1.3458,2,34.7015,2,34.7017,2,180.05,2,3999.2,2,186.76,2,187.01,2,118.74,2,0.38,33,2,0.13,0,2,0.01,2.32,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,0,2,0.03,-999,1,-999,1.0312,27.8034
49NZ20030909,   P06,127,4,8,12020,2,20030912,1358,-32.511,-149.8195,5025,4251.7,2,1.3,2,1.30012,2,34.7044,2,34.7044,2,184.77,2,4251.7,2,191.43,2,191.3,2,118.14,2,0.38,32.93,2,0.13,-0.01,2,0.01,2.31,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,0.9591,27.8105
49NZ20030909,   P06,127,4,7,12019,2,20030912,1358,-32.511,-149.8195,5025,4501.4,2,1.2545,2,1.25452,2,34.7073,2,34.7076,2,189.37,2,4501.5,2,195.44,2,195.44,2,117.76,2,0.38,32.58,2,0.12,0,2,0.01,2.29,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,0.03,2,0.02,-999,1,-999,0.8869,27.8176
49NZ20030909,   P06,127,4,6,12018,2,20030912,1358,-32.511,-149.8195,5025,4749.8,2,1.2014,2,1.20143,2,34.7098,2,34.7096,2,194.38,2,4749.9,2,200.01,2,199.81,2,117.24,2,0.38,32.37,2,0.12,-0.01,2,0.01,2.26,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,0.8068,27.8248
